date,lastSyncTime,deepSleepTime,shallowSleepTime,wakeTime,start,stop
2020-09-08,1599622141,0,0,0,1599620400,1599620400
2020-09-09,1599707644,109,259,0,1599635880,1599657960
2020-09-10,1599793262,157,258,0,1599720000,1599744900
2020-09-11,1599885483,141,288,0,1599807540,1599833280
2020-09-12,1600032778,70,374,0,1599890880,1599917520
2020-09-13,1600053305,167,246,0,1599978960,1600003740
2020-09-14,1600139162,149,239,2,1600055040,1600078440
2020-09-15,1600226108,112,377,0,1600140900,1600170240
2020-09-16,1600313167,102,286,0,1600235100,1600258380
2020-09-17,1600398361,152,363,0,1600319460,1600350360
2020-09-18,1600484761,109,240,0,1600410000,1600430940
2020-09-19,1600571625,158,345,0,1600494720,1600524900
2020-09-20,1600657801,181,280,0,1600583220,1600610880
2020-09-21,1600757891,57,318,0,1600670100,1600692600
2020-09-22,1600830181,122,177,0,1600755120,1600773060
2020-09-23,1600958575,159,330,0,1600834800,1600864140
2020-09-24,1600996420,95,381,0,1600924680,1600953240